2021-12-17 17:09:13,317 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.javassem:basic:1.0.0-BUILD-SNAPSHOT @ C:\Users\Kosmo\Documents\GitHub\team1982\project1982\pom.xml.
2021-12-17 17:09:14,295 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-12-17 17:09:14,299 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-12-17 17:09:14,309 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-12-17 17:09:14,315 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-12-17 17:09:15,197 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.javassem:basic:1.0.0-BUILD-SNAPSHOT @ C:\Users\Kosmo\Documents\GitHub\team1982\project1982\pom.xml.
2021-12-17 17:09:22,033 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-12-17 17:09:22,037 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-12-17 17:09:22,043 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-12-17 17:09:22,044 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-12-17 17:09:28,284 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.javassem:basic:1.0.0-BUILD-SNAPSHOT @ C:\Users\Kosmo\Documents\GitHub\team1982\project1982\pom.xml.
2021-12-17 17:09:28,882 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-12-17 17:09:28,884 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2021-12-17 17:09:28,889 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2021-12-17 17:09:28,890 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
